fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"VFD218_EN","vfd","O","423","3","T_1794_AENT_4:4:O.Data.3",Y,"alt=T_1794_AENT_4:O.Data[4].3; type=1794-OB16P; word=423; eip=423"
"VFD219","vfd","O","1010","1","T_1794_AENT_5:8:O.Data.1",Y,"alt=T_1794_AENT_5:O.Data[8].1; type=1794-OB16P; word=1010; eip=1010"
"VFD219A","vfd","O","1010","0","T_1794_AENT_5:8:O.Data.0",Y,"alt=T_1794_AENT_5:O.Data[8].0; type=1794-OB16P; word=1010; eip=1010"
"VFD219A_AUX","vfd","I","1006","17","T_1794_AENT_5:6:I.Data.15",Y,"alt=T_1794_AENT_5:I.Data[6].15; type=1794-IB16; word=1006; eip=1006"
"VFD219_AUX","vfd","I","1006","15","T_1794_AENT_5:6:I.Data.13",Y,"alt=T_1794_AENT_5:I.Data[6].13; type=1794-IB16; word=1006; eip=1006"
"VFD410_AUX","vfd","I","424","6","T_1794_AENT_4:5:I.Data.6",Y,"alt=T_1794_AENT_4:I.Data[5].6; type=1794-IB16; word=424; eip=86; via=configio"
"VFD410_EN","vfd","O","423","4","T_1794_AENT_4:4:O.Data.4",Y,"alt=T_1794_AENT_4:O.Data[4].4; type=1794-OB16P; word=423; eip=423"
"VFD412_AUX","vfd","I","424","10","T_1794_AENT_4:5:I.Data.0",Y,"alt=T_1794_AENT_4:I.Data[5].0; type=1794-IB16; word=424; eip=86; via=configio"
"VFD412_EN","vfd","O","423","5","T_1794_AENT_4:4:O.Data.5",Y,"alt=T_1794_AENT_4:O.Data[4].5; type=1794-OB16P; word=423; eip=423"
"VFD414_AUX","vfd","I","424","11","T_1794_AENT_4:5:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[5].1; type=1794-IB16; word=424; eip=86; via=configio"
"VFD414_EN","vfd","O","423","6","T_1794_AENT_4:4:O.Data.6",Y,"alt=T_1794_AENT_4:O.Data[4].6; type=1794-OB16P; word=423; eip=423"
"VFD422_AUX","vfd","I","424","12","T_1794_AENT_4:5:I.Data.2",Y,"alt=T_1794_AENT_4:I.Data[5].2; type=1794-IB16; word=424; eip=86; via=configio"
"VFD422_EN","vfd","O","423","7","T_1794_AENT_4:4:O.Data.7",Y,"alt=T_1794_AENT_4:O.Data[4].7; type=1794-OB16P; word=423; eip=423"
"VFD424_AUX","vfd","I","424","14","T_1794_AENT_4:5:I.Data.4",Y,"alt=T_1794_AENT_4:I.Data[5].4; type=1794-IB16; word=424; eip=86; via=configio"
"VFD424_EN","vfd","O","423","10","T_1794_AENT_4:4:O.Data.8",Y,"alt=T_1794_AENT_4:O.Data[4].8; type=1794-OB16P; word=423; eip=423"
"VFD834_AUX","vfd","I","424","15","T_1794_AENT_4:5:I.Data.5",Y,"alt=T_1794_AENT_4:I.Data[5].5; type=1794-IB16; word=424; eip=86; via=configio"
"VFD834_EN","vfd","O","423","11","T_1794_AENT_4:4:O.Data.9",Y,"alt=T_1794_AENT_4:O.Data[4].9; type=1794-OB16P; word=423; eip=423"
"VFD836_AUX","vfd","I","424","17","T_1794_AENT_4:5:I.Data.7",Y,"alt=T_1794_AENT_4:I.Data[5].7; type=1794-IB16; word=424; eip=86; via=configio"
"VFD836_EN","vfd","O","423","12","T_1794_AENT_4:4:O.Data.10",Y,"alt=T_1794_AENT_4:O.Data[4].10; type=1794-OB16P; word=423; eip=423"
"WH300","beacon","O","100","4","T_1794_AENT_1:1:O.Data.4",Y,"alt=T_1794_AENT_1:O.Data[1].4; type=1794-OA8I; word=100; via=configio"
"EZPWS116","power_supply","O","412","0","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"SSVEZPE116_P","digital_out","O","421","0","T_1794_AENT_4:2:O.Data.0",Y,"alt=T_1794_AENT_4:O.Data[2].0; type=1794-OB16P; word=421; eip=421"
"EZPWS209_AUX","power_supply","I","1001","12","T_1794_AENT_1:4:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[4].2; type=1794-IA16; word=1001; eip=103; via=configio"
"EZPWS212","power_supply","O","105","10","T_1794_AENT_1:6:I.Data.8",Y,"alt=T_1794_AENT_1:I.Data[6].8; type=1794-IA16; word=105"
"EZPWS213_AUX","power_supply","I","1001","13","T_1794_AENT_1:4:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[4].3; type=1794-IA16; word=1001; eip=103; via=configio"
"EZPWS214","power_supply","O","412","1","",N,"UNMAPPED word 412 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPWS217_AUX","power_supply","I","1001","14","T_1794_AENT_1:4:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[4].4; type=1794-IA16; word=1001; eip=103; via=configio"
