"Timer_Name"~"Timer_Address"~"General_Description"~"Invert"~"Start"~"Timing"~"Keep"~"Done"~"Retentative"~"Reset_Bit"~"Preset_Value"~"Accumulated"~"Retained"~"Start_Time"~"Owner"~"Changed"
tmPE120_PCLR~705~ ~N~Y~Y~N~Y~Y~N~       1.500~       1.501~       1.501~0~MSCRENOPACK~N~
tmVFD120RUN~706~ ~N~N~N~N~N~Y~N~       2.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE120_PLNCLR~707~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.005~       1.005~0~MSCRENOPACK~N~
tmPE1004_PCLR~708~ ~N~Y~Y~N~Y~Y~N~       1.500~       1.505~       1.505~0~MSCRENOPACK~N~
tmVFD1004RUN~709~ ~N~N~N~N~N~Y~N~       2.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE1004_PLNCLR~710~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.005~       1.005~0~MSCRENOPACK~N~
tmPE412_PCLR~711~ ~N~Y~Y~N~Y~Y~N~       1.500~       1.505~       0.000~0~MSCRENOPACK~N~
tmVFD412RUN~712~ ~N~Y~Y~N~Y~Y~N~       2.000~       2.001~       2.001~0~MSCRENOPACK~N~
tmPE412_PLNCLR~713~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmENC204~714~ ~N~Y~Y~N~N~N~N~       3.000~       0.881~       0.000~0~N/A~N~
tmDelayENC204~715~ ~N~Y~Y~N~Y~N~N~      30.000~      30.004~       0.000~0~N/A~N~
tmENC206~716~ ~N~Y~Y~N~N~N~N~       3.000~       0.796~       0.000~0~N/A~N~
tmDelayENC206~717~ ~N~Y~Y~N~Y~N~N~      30.000~      30.000~       0.000~0~N/A~N~
tmENC208~718~ ~N~Y~Y~N~N~N~N~       3.000~       0.816~       0.000~0~N/A~N~
tmDelayENC208~719~ ~N~Y~Y~N~Y~N~N~      30.000~      30.000~       0.000~0~N/A~N~
tmEZPE70_P~720~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE320_PCLR~721~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.001~       0.000~0~MSCRENOPACK~N~
tmVFD302RUN~722~ ~N~Y~Y~N~Y~Y~N~       8.000~       8.005~       0.000~0~MSCRENOPACK~N~
tmPE320_PLNCLR~723~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.001~       0.000~0~MSCRENOPACK~N~
tmPE228_PCLR~724~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmVFD228RUN~725~ ~N~N~N~N~N~Y~N~      40.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE228_PLNCLR~726~ ~N~Y~Y~N~Y~Y~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmEZPE70_P~727~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM220_AUX~728~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
P400_INFEED_GAP~729~ ~N~N~N~N~N~Y~Y~       0.200~       0.000~       0.000~0~MSCRENOPACK~N~
tmP400_INFEED_PITCH~730~ ~N~N~N~N~N~Y~Y~       0.200~       0.000~       0.000~0~MSCRENOPACK~N~
P400_RECIRC_GAP~731~ ~N~N~N~N~N~Y~Y~       0.200~       0.000~       0.000~0~MSCRENOPACK~N~
tmP400_RECIRC_PITCH~732~ ~N~N~N~N~N~Y~Y~       0.200~       0.000~       0.000~0~MSCRENOPACK~N~
tmMDR1002~733~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmMDR118~734~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM212_AUX~735~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
LANE_118_GAP~736~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
LANE_1002_GAP~737~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
LANE_410_GAP~738~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
LANE_118_PITCH~739~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
LANE_1002_PITCH~740~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
LANE_410_PITCH~741~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
tmMDR806~742~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmPE800_P~743~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK1~744~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK3~745~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK4~746~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK5~747~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK6~748~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK7~749~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK8~750~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK9~751~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK10~752~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK11~753~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK12~754~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK13~755~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK14~756~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK15~757~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK16~758~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK17~759~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK18~760~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK19~761~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK20~762~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK21~763~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK22~764~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK23~765~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmPACK24~766~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOPACK~N~
tmENC3_1~767~ ~N~Y~Y~N~N~N~N~       0.035~       0.025~       0.000~0~MSCRENOPICK~N~
tmMDR512~768~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmENC506~769~ ~N~Y~Y~N~N~N~N~       3.000~       0.241~       0.000~0~N/A~N~
tmDelayENC506~770~ ~N~N~N~N~N~N~Y~      30.000~       0.000~       0.000~0~N/A~N~
tmENC508~771~ ~N~Y~Y~N~N~N~N~       3.000~       0.241~       0.000~0~N/A~N~
tmDelayENC508~772~ ~N~N~N~N~N~N~Y~      30.000~       0.000~       0.000~0~N/A~N~
tmM501_AUX~773~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmVFD524_AUX~774~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
OIVP_GAP~775~ ~N~N~N~N~N~Y~Y~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
OIVP_PITCH~776~ ~N~N~N~N~N~Y~Y~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE522_P~777~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmMDR218~778~ ~N~N~N~N~N~N~N~       0.200~       0.000~       0.000~0~MSCRENOPACK~N~
tmM404_AUX~779~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM8_AUX~780~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmPE610_P~781~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
VFD520_GAP~782~ ~N~N~N~N~N~Y~N~       0.100~       0.000~       0.000~0~MSCRENOSHIP~N~
VFD520_PITCH~783~ ~N~N~N~N~N~Y~N~       1.000~       0.000~       0.000~0~MSCRENOSHIP~N~
tmPE1001_PCLR~784~ ~N~N~N~N~Y~Y~N~       5.000~  270457.961~  270457.961~0~MSCRENOPICK~N~
tmPE105A_PCLR~785~ ~N~N~N~N~Y~Y~N~       5.000~  270457.961~  270457.961~0~MSCRENOPICK~N~
tmM1001RUN~786~ ~N~N~N~N~Y~Y~N~      10.000~       5.005~       5.005~0~MSCRENOPICK~N~
tmM104RUN~787~ ~N~N~N~N~Y~Y~N~      30.000~       5.005~       5.005~0~MSCRENOPICK~N~
tmPE1001_PLNCLR~788~ ~N~N~N~N~Y~Y~N~       5.000~       5.005~       5.005~0~MSCRENOPICK~N~
tmPE105A_PLNCLR~789~ ~N~N~N~N~Y~Y~N~       5.000~       5.005~       5.005~0~MSCRENOPICK~N~
tmM1001~790~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmPE105B_J~791~ ~N~N~N~N~N~Y~N~      10.000~       0.000~       0.000~0~MSCRENOPICK~N~
tmMERGE105B_START/STOP~792~ ~N~N~N~N~N~N~N~       5.000~       0.000~       0.000~0~MSCRENOPICK~N~
tmMERGE_105B_LATCH~793~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPICK~N~
tmPS208_TU~794~ ~N~N~N~N~Y~Y~N~       3.000~       3.005~       3.005~0~MSCRENOPACK~N~
tmPE200_J2~795~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE204_J~796~ ~N~N~N~N~N~Y~N~       3.000~       0.000~       0.000~0~MSCRENOPACK~N~
PE118_P_GAP~797~ ~N~N~N~N~N~Y~Y~       1.500~       0.000~       0.000~0~MSCRENOPACK~N~
PE118_P_PITCH~798~ ~N~N~N~N~N~Y~Y~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
PE1002_P_GAP~799~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE1002_P_PITCH~800~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE410_P_GAP~801~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE410_P_PITCH~802~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE404_P_GAP~803~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE404_P_PITCH~804~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE1000_P_GAP~805~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE1000_P_PITCH~806~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE108_P_GAP~807~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE108_P_PITCH~808~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE226_P_GAP~809~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE226_P_PITCH~810~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE300_P_GAP~811~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
PE300_P_PITCH~812~ ~N~N~N~N~N~Y~Y~       0.010~       0.000~       0.000~0~MSCRENOPACK~N~
EZSSV15_INT~813~ ~N~N~N~N~N~N~N~       5.000~       0.000~       0.000~0~MSCRENOPICK~N~
EZSSV15_RUN~814~ ~N~N~N~N~N~N~N~       1.500~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE51_HF~815~ ~N~N~N~N~N~N~N~       3.000~       0.000~       0.000~0~MSCRENOPICK~N~
tmfcEZPE51_HF~816~ ~N~Y~Y~N~Y~N~N~       6.000~       6.000~       0.000~0~MSCRENOPICK~N~
tmEZPE52_P_GAP~817~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE52_P_PITCH~818~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE53_P_GAP~819~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE53_P_PITCH~820~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE48_P_GAP~821~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmEZPE48_P_PITCH~822~ ~N~N~N~N~N~Y~N~       0.010~       0.000~       0.000~0~MSCRENOPICK~N~
tmPE300_PD_J~823~ ~N~N~N~N~N~Y~N~       7.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmPE300_F1~824~ ~N~N~N~N~N~N~N~       1.250~       0.000~       0.000~0~MSCRENOPACK~N~
tmfcPE300_F1~825~ ~N~Y~Y~N~Y~N~N~       3.000~       3.001~       0.000~0~MSCRENOPACK~N~
END~826~ ~N~N~N~N~Y~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
 ~0~ ~N~N~N~N~N~N~N~       0.000~       0.000~       0.000~0~N/A~Y~
